concept,concept_type,source_url,name,description,tags,unit,domain,color,drill_up
ae_ton_finance,measure,OECD,Air emissions (Thousand tonnes) Financial and insurance activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_health,measure,OECD,Air emissions (Thousand tonnes) Human health and social work activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_info,measure,OECD,Air emissions (Thousand tonnes) Information and communication,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_land,measure,OECD,Air emissions (Thousand tonnes) Land transport and transport via pipelines,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_manu,measure,OECD,Air emissions (Thousand tonnes) Manufacturing,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_mine,measure,OECD,Air emissions (Thousand tonnes) Mining and quarrying,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_other,measure,OECD,Air emissions (Thousand tonnes) Other service activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_prof,measure,OECD,Air emissions (Thousand tonnes) Professional; scientific and technical activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_def,measure,OECD,Air emissions (Thousand tonnes) Public administration and defence; compulsory social security,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_real,measure,OECD,Air emissions (Thousand tonnes) Real estate activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_serv,measure,OECD,Air emissions (Thousand tonnes) Services (except transportation and storage),Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_total,measure,OECD,Air emissions (Thousand tonnes) Total - all NACE activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_transp,measure,OECD,Air emissions (Thousand tonnes) Transportation and storage,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_water,measure,OECD,Air emissions (Thousand tonnes) Water supply; sewerage; waste management and remediation activities,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_wat_trans,measure,OECD,Air emissions (Thousand tonnes) Water transport,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
ae_ton_retail,measure,OECD,Air emissions (Thousand tonnes) Wholesale and retail trade; repair of motor vehicles and motorcycles,Utsläpp av växthusgaser per bransch ingår i miljöräkenskaperna och avser utsläpp genererade från ekonomiska aktörer Miljöräkenskaper syftar till att sammanfatta och beskriva miljöpåverkan från ekonomiska aktiviteter och utveckling. Miljöräkenskaper avseende utsläpp till luft regleras av EU förordningen 691/20111 för EU länder. Samtliga länder ska följa standarder som anges i FN:s System of Environmental- Economic Accounting – Central Framework (2012).,,,,,
chain_out_air,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Output; Air transport,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_out_land,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Output; Land transport and transport via pipelines,Transportsektorn består av branscherna; H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_out_transp,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Output; Transportation and storage,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_out_water,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Output; Water transport,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_value_air,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Value added gross; Air transport,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_value_land,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Value added gross; Land transport and transport via pipelines,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_value_transp,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Value added gross; Transportation and storage,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
chain_value_water,measure,Eurostat,Chain linked volumes (2015) (million units of national currency) Value added gross; Water transport,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
dev_inv_cap,measure,OECD,Development of environment-related technologies; inventions per capita,Patent är baserat på antalet prioriterade patentansökningar (enkla patentfamiljer); efter uppfinnarens bosättningsland; med en patentfamiljsstorlek på två eller fler (uppfinningar med högt värde.,,Uppfinningar per 1 000 000 invånare,,,
emp_fte_air,measure,Eurostat,Employees in full time equivalent units; Air transport,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
emp_fte_land,measure,Eurostat,Employees in full time equivalent units; Land transport and transport via pipelines,Transportsektorn består av branscherna: H49 landtransportföretag; rörtransportföretag; H50 rederier och H51 flygbolag. Variablerna är hämtade från miljö- och nationalräkenskaperna.,,,,,
