country,is--country,name,continent,eu_mem,briics_mem,nato,oecd_mem,g7,sweden
dji,TRUE,Djibouti,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
dma,TRUE,Dominica,n_america,not_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
dom,TRUE,Dominican Republic,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tls,TRUE,East Timor,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ecu,TRUE,Ecuador,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
egy,TRUE,Egypt,africa_asia,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
slv,TRUE,El Salvador,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gnq,TRUE,Equatorial Guinea,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
eri,TRUE,Eritrea,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
est,TRUE,Estonia,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
swz,TRUE,Eswatini,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
eth,TRUE,Ethiopia,africa,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
eu,TRUE,EU27,europe,is_eu,not_briics,not_nato,not_oecd,is_g7,not_sweden
euro,TRUE,Euro area (19 countries),europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
eu_two,TRUE,European Union – 27 countries (from 01/02/2020),europe,is_eu,not_briics,not_nato,not_oecd,is_g7,not_sweden
eu_three,TRUE,European Union - 27 countries (from 2020),europe,is_eu,not_briics,not_nato,not_oecd,is_g7,not_sweden
eu_one,TRUE,European Union (28 countries),europe,is_eu,not_briics,not_nato,not_oecd,is_g7,not_sweden
flk,TRUE,Falkland Islands,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
fro,TRUE,Faroe Islands,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
fji,TRUE,Fiji,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
fin,TRUE,Finland,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
fra,TRUE,France,europe,is_eu,not_briics,is_nato,is_oecd,is_g7,not_sweden
guf,TRUE,French Guiana,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pyf,TRUE,French Polynesia,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
fra_antarc,TRUE,French Southern and Antarctic Lands,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
g_seven,TRUE,G7,other,not_eu,not_briics,not_nato,not_oecd,is_g7,not_sweden
gab,TRUE,Gabon,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gmb,TRUE,Gambia,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
geo,TRUE,Georgia,euro_asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
deu,TRUE,Germany,europe,is_eu,not_briics,is_nato,is_oecd,is_g7,not_sweden
gha,TRUE,Ghana,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gib,TRUE,Gibraltar,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
grc,TRUE,Greece,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
grl,TRUE,Greenland,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
grd,TRUE,Grenada,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
glp,TRUE,Guadeloupe,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gum,TRUE,Guam,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gtm,TRUE,Guatemala,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gin,TRUE,Guinea,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
gnb,TRUE,Guinea-Bissau,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
guy,TRUE,Guyana,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
hti,TRUE,Haiti,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
heard_a_mcd,TRUE,Heard and McDonald Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
hnd,TRUE,Honduras,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
hkg,TRUE,Hongkong,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
hun,TRUE,Hungary,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
isl,TRUE,Iceland,europe,not_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
ind,TRUE,India,asia,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
idn,TRUE,Indonesia,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
irn,TRUE,Iran,asia,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
irq,TRUE,Iraq,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
irl,TRUE,Ireland,europe,is_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
isr,TRUE,Israel,asia,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
ita,TRUE,Italy,europe,is_eu,not_briics,is_nato,is_oecd,is_g7,not_sweden
jam,TRUE,Jamaica,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
jpn,TRUE,Japan,asia,not_eu,not_briics,not_nato,is_oecd,is_g7,not_sweden
jor,TRUE,Jordan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kaz,TRUE,Kazakhstan,euro_asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ken,TRUE,Kenya,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kir,TRUE,Kiribati,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
korea,TRUE,Korea,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kos,TRUE,Kosovo,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kwt,TRUE,Kuwait,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kgz,TRUE,Kyrgyzstan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lao,TRUE,Laos,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lva,TRUE,Latvia,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
lbn,TRUE,Lebanon,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lso,TRUE,Lesotho,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lbr,TRUE,Liberia,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lby,TRUE,Libya,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lie,TRUE,Liechtenstein,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ltu,TRUE,Lithuania,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
lux,TRUE,Luxembourg,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
mac,TRUE,Macau,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mdg,TRUE,Madagascar,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mwi,TRUE,Malawi,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mys,TRUE,Malaysia,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mdv,TRUE,Maldives,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mli,TRUE,Mali,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mlt,TRUE,Malta,europe,is_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mhl,TRUE,Marshall Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mtq,TRUE,Martinique,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mrt,TRUE,Mauritania,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mus,TRUE,Mauritius,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
myt,TRUE,Mayotte,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mel,TRUE,Melilla,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mex,TRUE,Mexico,n_america,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
fsm,TRUE,Micronesia,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mda,TRUE,Moldova,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mco,TRUE,Monaco,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mng,TRUE,Mongolia,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mne,TRUE,Montenegro,europe,not_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
msr,TRUE,Montserrat,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mar,TRUE,Morocco,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
moz,TRUE,Mozambique,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mmr,TRUE,Myanmar,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nam,TRUE,Namibia,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nru,TRUE,Nauru,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
npl,TRUE,Nepal,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nld,TRUE,Netherlands,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
ant,TRUE,Netherlands Antilles,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ncl,TRUE,New Caledonia,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nzl,TRUE,New Zealand,oceania,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
nzl_oc,TRUE,New Zealand Oceania,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nic,TRUE,Nicaragua,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ner,TRUE,Niger,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nga,TRUE,Nigeria,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
niu,TRUE,Niue,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nfk,TRUE,Norfolk Island,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
prk,TRUE,North Korea,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
mkd,TRUE,North Macedonia,europe,not_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
mnp,TRUE,Northern Mariana Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
nor,TRUE,Norway,europe,not_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
oecd_eu,TRUE,OECD - Europe,europe,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
oecd_tot,TRUE,OECD - Total,other,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
oecd_am,TRUE,OECD America,n_and_s_america,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
oecd_ac,TRUE,OECD Asia Oceania,asia_ocea,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
omn,TRUE,Oman,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pak,TRUE,Pakistan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
plw,TRUE,Palau,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pse,TRUE,Palestine,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pan,TRUE,Panama,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
png,TRUE,Papua New Guinea,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pry,TRUE,Paraguay,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
per,TRUE,Peru,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
phl,TRUE,Philippines,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pcn,TRUE,Pitcairn Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
pol,TRUE,Poland,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
polar,TRUE,Polar Regions,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
prt,TRUE,Portugal,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
pri,TRUE,Puerto Rico,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
qat,TRUE,Qatar,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
reu,TRUE,Reunion,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
rou,TRUE,Romania,europe,is_eu,not_briics,is_nato,not_oecd,not_g7,not_sweden
rus,TRUE,Russia,euro_asia,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
rwa,TRUE,Rwanda,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kna,TRUE,Saint Kitts and Nevis,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
lca,TRUE,Saint Lucia,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
vct,TRUE,Saint Vincent and the Grenadines,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
stbar,TRUE,Saint-Barthélemy,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
spm,TRUE,Saint-Pierre-et-Miquelon,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
wsm,TRUE,Samoa,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
smr,TRUE,San Marino,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
shn,TRUE,Sankt Helena Ascension and Tristan da Cunha,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
stp,TRUE,Sao Tome and Principe,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
sau,TRUE,Saudi Arabia,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
sen,TRUE,Senegal,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
srb,TRUE,Serbia,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
scg,TRUE,Serbia and Montenegro,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
syc,TRUE,Seychelles,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
sle,TRUE,Sierra Leone,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
sgp,TRUE,Singapore,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
maf,TRUE,Sint-Maarten,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
svk,TRUE,Slovakia,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
svn,TRUE,Slovenia,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
slb,TRUE,Solomon Islands,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
som,TRUE,Somalia,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
zaf,TRUE,South Africa,africa,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
sgero_a_ssandw,TRUE,South Georgia and the South Sandwich Islands,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
kor,TRUE,South Korea,asia,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
ssd,TRUE,South Sudan,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
esp,TRUE,Spain,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
lka,TRUE,Sri Lanka,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
sdn,TRUE,Sudan,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
sur,TRUE,Suriname,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
swe,TRUE,Sweden,europe,is_eu,not_briics,is_nato,is_oecd,not_g7,is_sweden
che,TRUE,Switzerland,europe,not_eu,not_briics,not_nato,is_oecd,not_g7,not_sweden
syr,TRUE,Syrian Arab Republic,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
twn,TRUE,Taiwan (province of China),asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tjk,TRUE,Tajikistan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tza,TRUE,Tanzania,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tha,TRUE,Thailand,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
high_seas,TRUE,The High Seas,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tgo,TRUE,Togo,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tkl,TRUE,Tokelau,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ton,TRUE,Tonga,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tto,TRUE,Trinidad and Tobago,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tun,TRUE,Tunisia,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tkm,TRUE,Turkmenistan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tca,TRUE,Turks and Caicos Islands,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tuv,TRUE,Tuvalu,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
tur,TRUE,Türkiye,euro_asia,not_eu,not_briics,is_nato,is_oecd,not_g7,not_sweden
uga,TRUE,Uganda,africa,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ukr,TRUE,Ukraine,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
are,TRUE,United Arab Emirates,asia,not_eu,is_briics,not_nato,not_oecd,not_g7,not_sweden
gbr,TRUE,United Kingdom,europe,not_eu,not_briics,is_nato,is_oecd,is_g7,not_sweden
usa,TRUE,United States,n_america,not_eu,not_briics,is_nato,is_oecd,is_g7,not_sweden
usa_minor_out_isl,TRUE,United States Minor Outlying Islands,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
usa_oc,TRUE,United States Oceania,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
vir,TRUE,United States Virgin Islands,n_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
unspec,TRUE,Unspecified countries and territories,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
unspec_third,TRUE,Unspecified countries and territories in trade with third country,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
unspec_eu,TRUE,Unspecified countries and territories in trade within the EU,other,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ury,TRUE,Uruguay,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
uzb,TRUE,Uzbekistan,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
vut,TRUE,Vanuatu,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
vat,TRUE,Vatican City State,europe,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
ven,TRUE,Venezuela,s_america,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
vnm,TRUE,Viet Nam,asia,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
wlf,TRUE,Wallis and Futuna,oceania,not_eu,not_briics,not_nato,not_oecd,not_g7,not_sweden
