country,year,foradl_lop_fastighet_dollar
fra,2012,332110.42
fra,2013,348367.752
fra,2014,354398.84
fra,2015,301850.638
fra,2016,308795.75
fra,2017,323406.596
fra,2018,344856.195
fra,2019,336452.914
fra,2020,347063.826
fra,2021,366814.37
fra,2022,341861.92
fra,2023,399307.422
fra,2024,404436.874
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,393577.105
deu,2009,367339.662
deu,2010,350878.756
deu,2011,391064.26
deu,2012,355282.611
deu,2013,381863.155
deu,2014,390340.1
deu,2015,338017.54
deu,2016,344679.667
deu,2017,359650.948
deu,2018,380647.62
deu,2019,368450.406
deu,2020,380634.569
deu,2021,405112.211
deu,2022,365245.708
deu,2023,400856.556
deu,2024,416928.627
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,46206.165
grc,2009,45320.775
grc,2010,43769.131
grc,2011,44997.536
grc,2012,38330.489
grc,2013,37756.252
grc,2014,36748.922
grc,2015,31458.178
grc,2016,30402.496
grc,2017,30997.829
grc,2018,31680.051
grc,2019,32670.724
grc,2020,30843.684
grc,2021,33762.491
grc,2022,31039.056
grc,2023,35017.764
grc,2024,37000.313
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,11182.765
hun,2009,9934.761
hun,2010,10837.919
hun,2011,11317.843
hun,2012,9866.086
hun,2013,10170.308
hun,2014,10100.646
hun,2015,8870.414
hun,2016,9716.917
hun,2017,11020.87
hun,2018,12866.75
hun,2019,14013.941
hun,2020,13960.589
hun,2021,16334.833
hun,2022,17446.29
hun,2023,21137.736
hun,2024,22714.447
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1740.367
isl,2009,1410.252
isl,2010,1471.98
isl,2011,1549.39
isl,2012,1494.868
isl,2013,1673.339
isl,2014,1852.656
isl,2015,1739.486
isl,2016,2086.347
isl,2017,2554.472
isl,2018,2653.424
isl,2019,2545.723
isl,2020,2392.78
isl,2021,2639.878
isl,2022,2692.803
isl,2023,2984.36
isl,2024,3601.314
ind,2000,
ind,2001,
ind,2002,
ind,2003,
ind,2004,
ind,2005,
ind,2006,
ind,2007,
ind,2008,
ind,2009,
ind,2010,
ind,2011,328018.441
ind,2012,332470.816
ind,2013,353171.385
ind,2014,387246.517
ind,2015,409362.157
ind,2016,433279.721
ind,2017,480211.359
ind,2018,516087.979
ind,2019,551135.192
ind,2020,543617.056
ind,2021,628517.029
ind,2022,702270.731
ind,2023,
ind,2024,
idn,2000,
idn,2001,
idn,2002,
idn,2003,
idn,2004,
idn,2005,
idn,2006,
idn,2007,
idn,2008,
idn,2009,
idn,2010,21804.626
idn,2011,24947.068
idn,2012,25346.042
idn,2013,25262.302
idn,2014,24826.646
idn,2015,24467.197
idn,2016,26336.008
idn,2017,28567.667
idn,2018,28518.329
idn,2019,31062.066
idn,2020,31118.816
idn,2021,32724.14
idn,2022,32883.233
idn,2023,33173.277
idn,2024,32842.219
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,18810.291
irl,2009,11543.134
irl,2010,13064.177
irl,2011,14309.946
irl,2012,14546.294
irl,2013,16025.523
irl,2014,17614.052
irl,2015,16218.276
irl,2016,17247.71
irl,2017,18871.484
irl,2018,22283.189
irl,2019,22744.147
irl,2020,23268.152
irl,2021,26325.269
irl,2022,26930.083
irl,2023,32941.579
irl,2024,35756.78
isr,2000,
isr,2001,
isr,2002,
isr,2003,
isr,2004,
isr,2005,
isr,2006,
isr,2007,
isr,2008,23940.614
isr,2009,24563.245
isr,2010,29105.145
isr,2011,33124.193
isr,2012,32863.603
isr,2013,36347.461
isr,2014,39326.502
isr,2015,37544.667
isr,2016,40810.598
isr,2017,45956.393
isr,2018,47970.668
isr,2019,51839.542
isr,2020,54217.935
isr,2021,59478.957
isr,2022,60876.396
isr,2023,61022.989
isr,2024,62539.597
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,266602.52
ita,2009,259019.185
ita,2010,247912.464
ita,2011,269533.761
ita,2012,254146.103
ita,2013,263318.925
ita,2014,266084.492
ita,2015,229070.253
ita,2016,230833.464
ita,2017,238189.887
ita,2018,252015.929
ita,2019,243817.966
ita,2020,243512.213
ita,2021,256574.103
ita,2022,238713.279
ita,2023,258128.773
ita,2024,273949.739
jpn,2000,
jpn,2001,
jpn,2002,
jpn,2003,
jpn,2004,
jpn,2005,
jpn,2006,
jpn,2007,
jpn,2008,599299.567
jpn,2009,663916.222
jpn,2010,710533.024
jpn,2011,781990.107
jpn,2012,782914.444
jpn,2013,647355.642
jpn,2014,603366.201
jpn,2015,533429.879
jpn,2016,596624.412
jpn,2017,583002.137
jpn,2018,590788.097
jpn,2019,602790.582
jpn,2020,616366.729
jpn,2021,594630.787
jpn,2022,493875.425
jpn,2023,461996.525
jpn,2024,
korea,2000,
korea,2001,
korea,2002,
korea,2003,
korea,2004,
korea,2005,
korea,2006,
korea,2007,
korea,2008,84009.935
korea,2009,75821.347
korea,2010,84822.303
korea,2011,91438.145
korea,2012,94528.905
korea,2013,101629.295
korea,2014,112878.69
korea,2015,111607.694
korea,2016,116043.738
korea,2017,125007.689
korea,2018,134796.712
korea,2019,131409.117
korea,2020,136435.45
korea,2021,142190.361
korea,2022,122587.021
korea,2023,122562.531
korea,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,2167.92
lva,2009,1903.611
lva,2010,1664.574
lva,2011,2088.649
lva,2012,2185.98
lva,2013,2466.803
lva,2014,2766.183
lva,2015,2137.017
lva,2016,2227.765
lva,2017,2251.017
lva,2018,2552.651
lva,2019,2455.121
lva,2020,2540.19
lva,2021,2814.102
lva,2022,2692.042
lva,2023,3104.895
lva,2024,3300.752
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2975.611
ltu,2009,2481.309
ltu,2010,2176.368
ltu,2011,2358.426
ltu,2012,2349.142
ltu,2013,2582.454
ltu,2014,2770.554
ltu,2015,2465.964
ltu,2016,2660.916
ltu,2017,2886.582
ltu,2018,3347.983
ltu,2019,3233.67
ltu,2020,3453.404
ltu,2021,3812.417
ltu,2022,4032.746
ltu,2023,4716.445
ltu,2024,4959.44
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,4459.066
lux,2009,4265.738
lux,2010,4281.46
lux,2011,4666.373
lux,2012,4408.071
lux,2013,5121.387
lux,2014,5346.409
lux,2015,4648.323
lux,2016,4860.482
lux,2017,5211.278
lux,2018,5625.464
lux,2019,5423.533
lux,2020,5426.384
lux,2021,5866.843
lux,2022,5202.117
lux,2023,5861.517
lux,2024,6051.824
mex,2000,
mex,2001,
mex,2002,
mex,2003,
mex,2004,
mex,2005,
mex,2006,
mex,2007,
mex,2008,118551.629
mex,2009,100879.781
mex,2010,114310.556
mex,2011,122967.703
mex,2012,121210.739
mex,2013,129968.94
mex,2014,131247.869
mex,2015,114502.594
mex,2016,101183.712
mex,2017,103706.601
mex,2018,105842.9
mex,2019,111163.872
mex,2020,102872.92
mex,2021,115609.747
mex,2022,123643.83
mex,2023,148516.893
mex,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,68890.186
nld,2009,52227.628
nld,2010,47444.748
nld,2011,50963.658
nld,2012,40727.801
nld,2013,44664.61
nld,2014,47581.584
nld,2015,40249.799
nld,2016,41547.608
nld,2017,46882.899
nld,2018,53540.935
nld,2019,51612.253
nld,2020,54292.008
nld,2021,59979.127
nld,2022,64709.839
nld,2023,82854.371
nld,2024,87341.61
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,17643.584
nzl,2009,15994.355
nzl,2010,19549.891
nzl,2011,22990.01
nzl,2012,24624.81
nzl,2013,26466.122
nzl,2014,27936.012
nzl,2015,25123.869
nzl,2016,27139.799
nzl,2017,29351.823
nzl,2018,30521.879
nzl,2019,31268.714
nzl,2020,32516.28
nzl,2021,37702.645
nzl,2022,35908.318
nzl,2023,
nzl,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,25342.553
nor,2009,23055.076
nor,2010,25416.572
nor,2011,29236.303
nor,2012,28944.22
nor,2013,29930.213
nor,2014,29533.615
nor,2015,24929.544
nor,2016,25095.357
nor,2017,26009.027
nor,2018,27309.069
nor,2019,26887.841
nor,2020,24892.645
nor,2021,29414.785
nor,2022,30330.346
nor,2023,28922.215
nor,2024,29750.601
oecd_twosix,2000,
oecd_twosix,2001,
oecd_twosix,2002,
oecd_twosix,2003,
oecd_twosix,2004,
oecd_twosix,2005,
oecd_twosix,2006,
oecd_twosix,2007,
oecd_twosix,2008,4842882.283
oecd_twosix,2009,4682038.991
oecd_twosix,2010,4841133.38
oecd_twosix,2011,5202889.876
oecd_twosix,2012,5199793.47
oecd_twosix,2013,5255835.113
oecd_twosix,2014,5333345.447
oecd_twosix,2015,5016346.165
oecd_twosix,2016,5149690.938
oecd_twosix,2017,5312091.361
oecd_twosix,2018,5567894.247
oecd_twosix,2019,5656056.666
oecd_twosix,2020,5772800.472
oecd_twosix,2021,6068428.905
oecd_twosix,2022,
oecd_twosix,2023,
oecd_twosix,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,27815.391
pol,2009,21990.027
pol,2010,24743.143
pol,2011,26970.336
pol,2012,25999.667
pol,2013,26643.535
pol,2014,28134.991
pol,2015,24243.534
pol,2016,25031.048
pol,2017,26812.665
pol,2018,29543.846
pol,2019,34347.517
pol,2020,35292.338
pol,2021,37865.913
pol,2022,36989.668
pol,2023,42890.413
pol,2024,51252.727
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,21578.776
prt,2009,21261.554
prt,2010,22170.503
prt,2011,23020.415
prt,2012,22324.435
prt,2013,24674.185
prt,2014,25058.802
prt,2015,21191.88
prt,2016,22330.505
prt,2017,23965.253
prt,2018,26173.859
prt,2019,26039.484
prt,2020,26912.892
prt,2021,28858.621
prt,2022,26942.726
prt,2023,27090.559
prt,2024,29682.469
rus,2000,
rus,2001,
rus,2002,
rus,2003,
rus,2004,
rus,2005,
rus,2006,
rus,2007,
rus,2008,
rus,2009,
rus,2010,
rus,2011,196689.087
rus,2012,218805.146
rus,2013,219505.961
rus,2014,190475.555
rus,2015,124213.403
rus,2016,117061.238
rus,2017,141674.423
rus,2018,140779.804
rus,2019,148375.262
rus,2020,139590.06
rus,2021,
rus,2022,
rus,2023,
rus,2024,
sau,2000,
sau,2001,
sau,2002,
sau,2003,
sau,2004,
sau,2005,
sau,2006,
sau,2007,
sau,2008,18472.095
sau,2009,21017.17
sau,2010,23540.321
sau,2011,25790.606
sau,2012,33170.933
sau,2013,40922.719
sau,2014,45051.553
sau,2015,48410.146
sau,2016,51054.417
sau,2017,53806.929
sau,2018,54860.287
sau,2019,55567.969
sau,2020,55540.522
sau,2021,56773.112
sau,2022,
sau,2023,
sau,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,8554.174
svk,2009,8622.436
svk,2010,8276.838
svk,2011,8641.62
svk,2012,8505.776
svk,2013,10817.766
svk,2014,8114.448
svk,2015,7027.822
svk,2016,8082.774
svk,2017,8602.529
svk,2018,9553.903
svk,2019,9120.528
svk,2020,10089.139
svk,2021,11868.219
svk,2022,12023.086
svk,2023,12700.572
svk,2024,13305.55
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,3593.982
svn,2009,3399.939
svn,2010,3259.374
svn,2011,3442.984
svn,2012,3170.957
svn,2013,3318.237
svn,2014,3354.321
svn,2015,2885.641
svn,2016,2965.749
svn,2017,3124.656
svn,2018,3424.809
svn,2019,3376.728
svn,2020,3493.304
svn,2021,3872.779
svn,2022,3995.492
svn,2023,4441.399
svn,2024,4815.327
zaf,2000,
zaf,2001,
zaf,2002,
zaf,2003,
zaf,2004,
zaf,2005,
zaf,2006,
zaf,2007,
zaf,2008,22657.375
zaf,2009,24871.075
zaf,2010,30758.916
zaf,2011,32643.277
zaf,2012,30498.865
zaf,2013,27275.343
zaf,2014,25840.459
zaf,2015,23095.289
zaf,2016,21325.996
zaf,2017,25294.144
zaf,2018,27053.541
zaf,2019,25858.402
zaf,2020,23085.147
zaf,2021,28552.906
zaf,2022,28587.805
zaf,2023,26218.497
zaf,2024,26943.763
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,145397.415
esp,2009,135568.667
esp,2010,145002.912
esp,2011,160864.093
esp,2012,151619.196
esp,2013,162632.038
esp,2014,161879.149
esp,2015,132863.059
esp,2016,134902.71
esp,2017,140910.782
esp,2018,153215.857
esp,2019,149937.938
esp,2020,153974.889
esp,2021,163271.386
esp,2022,153334.412
esp,2023,169468.313
esp,2024,187508.345
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,41962.5
swe,2009,36187.163
swe,2010,37676.738
swe,2011,44024.346
swe,2012,42599.162
swe,2013,45849.908
swe,2014,45585.891
swe,2015,36695.535
swe,2016,37894.804
swe,2017,40695.598
swe,2018,42130.599
swe,2019,41418.116
swe,2020,43189.865
swe,2021,46099.216
swe,2022,39690.926
swe,2023,42131.216
swe,2024,45178.882
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,34822.931
che,2009,35205.184
che,2010,37416.817
che,2011,45955.916
che,2012,43580.448
che,2013,45317.484
che,2014,47246.602
che,2015,45995.567
che,2016,46117.994
che,2017,46805.857
che,2018,47109.778
che,2019,49196.231
che,2020,52297.056
che,2021,55512.492
che,2022,54885.493
che,2023,59685.715
che,2024,64312.459
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,74631.809
tur,2009,67806.423
tur,2010,76934.618
tur,2011,75063.71
tur,2012,75931.467
tur,2013,78251.239
tur,2014,74868.103
tur,2015,66441.348
tur,2016,66738.618
tur,2017,60886.825
tur,2018,52308.95
tur,2019,49839.325
tur,2020,45111.101
tur,2021,40526.484
tur,2022,33647.111
tur,2023,43553.104
tur,2024,67851.459
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,348284.475
gbr,2009,267773.55
gbr,2010,260195.263
gbr,2011,284331.66
gbr,2012,306542.806
gbr,2013,311762.217
gbr,2014,353255.774
gbr,2015,349282.07
gbr,2016,325362.931
gbr,2017,313686.376
gbr,2018,343386.484
gbr,2019,334754.786
gbr,2020,329814.282
gbr,2021,366725.149
gbr,2022,360984.076
gbr,2023,397620.298
gbr,2024,438367.342
usa,2000,
usa,2001,
usa,2002,
usa,2003,
usa,2004,
usa,2005,
usa,2006,
usa,2007,
usa,2008,1768247.067
usa,2009,1777012.631
usa,2010,1841142.101
usa,2011,1901086.694
usa,2012,1960256.572
usa,2013,2039908.212
usa,2014,2091089.691
usa,2015,2140681.87
usa,2016,2206665.152
usa,2017,2298488.259
usa,2018,2405694.263
usa,2019,2525659.346
usa,2020,2589809.657
usa,2021,2700644.922
usa,2022,
usa,2023,
usa,2024,
zmb,2000,
zmb,2001,
zmb,2002,
zmb,2003,
zmb,2004,
zmb,2005,
zmb,2006,
zmb,2007,
zmb,2008,
zmb,2009,
zmb,2010,836.29
zmb,2011,925.346
zmb,2012,979.643
zmb,2013,1037.83
zmb,2014,1117.264
zmb,2015,1024.223
zmb,2016,936.35
zmb,2017,1149.172
zmb,2018,942.59
zmb,2019,927.467
zmb,2020,580.933
zmb,2021,624.098
zmb,2022,841.495
zmb,2023,
zmb,2024,
