country,year,foradl_lop_reklam_veterinar
aut,2020,2529.4
aut,2021,2821.7
aut,2022,3107.1
aut,2023,3100.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,5498.1
pol,2009,4606
pol,2010,4295.4
pol,2011,5142.5
pol,2012,5044.1
pol,2013,5092.3
pol,2014,4602.4
pol,2015,5482.9
pol,2016,5267.2
pol,2017,6101
pol,2018,6110.1
pol,2019,6423.8
pol,2020,5633.6
pol,2021,6429.7
pol,2022,6970.6
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1012.7
prt,2009,944.8
prt,2010,951.1
prt,2011,899.8
prt,2012,809.3
prt,2013,820.7
prt,2014,843.5
prt,2015,923
prt,2016,1021.8
prt,2017,1106.3
prt,2018,1247.8
prt,2019,1412.3
prt,2020,1388.4
prt,2021,1505
prt,2022,1811.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1390.8
rou,2009,887.6
rou,2010,269.9
rou,2011,454.5
rou,2012,848.1
rou,2013,1444.9
rou,2014,1331.5
rou,2015,1765.5
rou,2016,1864.8
rou,2017,2486.2
rou,2018,2248.3
rou,2019,2708.9
rou,2020,2372.3
rou,2021,2480.4
rou,2022,3304.6
rou,2023,4455.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,536.8
svn,2009,503.9
svn,2010,490.2
svn,2011,512.6
svn,2012,485.2
svn,2013,491.5
svn,2014,501
svn,2015,506.7
svn,2016,530.6
svn,2017,576
svn,2018,615.2
svn,2019,657.8
svn,2020,604.2
svn,2021,707.7
svn,2022,805.9
svn,2023,879.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,917.3
svk,2009,855.8
svk,2010,883.9
svk,2011,794.2
svk,2012,1058.4
svk,2013,956.9
svk,2014,1281.1
svk,2015,1362.5
svk,2016,1458
svk,2017,1276.2
svk,2018,1312.5
svk,2019,1113.7
svk,2020,1002.1
svk,2021,1283.6
svk,2022,1279.3
svk,2023,1474.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1146
fin,2009,1123
fin,2010,1169
fin,2011,1225
fin,2012,1242
fin,2013,1244
fin,2014,1239
fin,2015,1259
fin,2016,1287
fin,2017,1366
fin,2018,1454
fin,2019,1476
fin,2020,1377
fin,2021,1499
fin,2022,1645
fin,2023,1659
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3217.7
swe,2009,2747.8
swe,2010,3312.8
swe,2011,3707.8
swe,2012,3781.1
swe,2013,4032.1
swe,2014,3986.4
swe,2015,4161.2
swe,2016,4501.2
swe,2017,4717
swe,2018,4506.7
swe,2019,4453.3
swe,2020,4573.9
swe,2021,5142.1
swe,2022,5411.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,47.1
isl,2009,38.9
isl,2010,45.7
isl,2011,51.6
isl,2012,51.1
isl,2013,58.2
isl,2014,68.7
isl,2015,75.2
isl,2016,87.3
isl,2017,99.5
isl,2018,119.2
isl,2019,113.3
isl,2020,106.6
isl,2021,147.4
isl,2022,162.4
isl,2023,161.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1532.8
nor,2009,1264.5
nor,2010,1416.4
nor,2011,1553.8
nor,2012,1690.7
nor,2013,1644
nor,2014,1588.5
nor,2015,1591.5
nor,2016,1627.6
nor,2017,1705.6
nor,2018,1772.4
nor,2019,1895.3
nor,2020,1583.4
nor,2021,1995.1
nor,2022,2239.2
nor,2023,2111.1
nor,2024,2133.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2674.9
che,2009,2917
che,2010,3102.9
che,2011,3567.1
che,2012,3589.5
che,2013,3595.6
che,2014,3744.9
che,2015,4327.8
che,2016,4440.2
che,2017,4451
che,2018,4305.8
che,2019,4525.9
che,2020,4305.7
che,2021,4708.7
che,2022,5269.3
che,2023,5597.1
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,24767.7
gbr,2009,21356.1
gbr,2010,23405.3
gbr,2011,24747.7
gbr,2012,27699.9
gbr,2013,29528.1
gbr,2014,31614.4
gbr,2015,40314.7
gbr,2016,37032
gbr,2017,36445.9
gbr,2018,37454.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,82.4
bih,2009,88.3
bih,2010,93.9
bih,2011,100.2
bih,2012,106.3
bih,2013,100.8
bih,2014,75.2
bih,2015,82.9
bih,2016,94.7
bih,2017,97.9
bih,2018,105.7
bih,2019,109.6
bih,2020,115.9
bih,2021,134.9
bih,2022,166.8
bih,2023,192.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,33.1
mkd,2009,36.2
mkd,2010,34.6
mkd,2011,29.4
mkd,2012,24.6
mkd,2013,28.6
mkd,2014,28.6
mkd,2015,30.1
mkd,2016,37.5
mkd,2017,40.4
mkd,2018,43.9
mkd,2019,49
mkd,2020,44.3
mkd,2021,61.3
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,286.5
srb,2009,264.7
srb,2010,311.3
srb,2011,330.7
srb,2012,295.8
srb,2013,306.6
srb,2014,318.1
srb,2015,302.6
srb,2016,309
srb,2017,317.4
srb,2018,332.6
srb,2019,371.6
srb,2020,370.5
srb,2021,412.1
srb,2022,451.5
srb,2023,611.1
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
